Date,Afghanistan,Algeria,Andorra,Armenia,Australia,Austria,Azerbaijan,Bahrain,Belarus,Belgium,Brazil,Cambodia,Canada,Croatia,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Macau,Mainland China,Malaysia,Mexico,Monaco,Morocco,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Oman,Others,Pakistan,Philippines,Portugal,Qatar,Romania,Russia,San Marino,Saudi Arabia,Senegal,Singapore,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,UK,US,United Arab Emirates,Vietnam
1/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0
1/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,1,0,2
1/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,5,0,2,0,2
1/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1399,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,7,0,2,0,2
1/26/2020,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,2062,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,8,0,5,0,2
1/27/2020,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,2863,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,5,8,0,5,0,2
1/28/2020,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,4,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,5494,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,1,0,0,8,14,0,5,0,2
1/29/2020,0,0,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,5,0,4,0,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,6070,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,1,0,0,8,14,0,5,4,2
1/30/2020,0,0,0,0,9,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,5,0,4,0,10,0,1,0,0,0,0,0,0,11,0,0,0,0,0,7,8124,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,4,0,1,0,0,9,14,0,5,4,2
1/31/2020,0,0,0,0,9,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,5,0,5,0,12,0,1,0,0,0,0,0,2,15,0,0,0,0,0,7,9783,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,13,11,0,1,1,0,10,19,2,7,4,2
2/1/2020,0,0,0,0,12,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,6,0,8,0,13,0,1,0,0,0,0,0,2,20,0,0,0,0,0,7,11871,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,16,12,1,1,1,0,10,19,2,8,4,6
2/2/2020,0,0,0,0,12,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,6,0,10,0,15,0,2,0,0,0,0,0,2,20,0,0,0,0,0,8,16607,8,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,18,15,1,1,1,0,10,19,2,8,5,6
2/3/2020,0,0,0,0,12,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,6,0,12,0,15,0,3,0,0,0,0,0,2,20,0,0,0,0,0,8,19693,8,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,18,15,1,1,1,0,10,19,2,11,5,8
2/4/2020,0,0,0,0,13,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,1,6,0,12,0,17,0,3,0,0,0,0,0,2,22,0,0,0,0,0,10,23680,10,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,24,16,1,1,1,0,11,25,2,11,5,8
2/5/2020,0,0,0,0,13,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,1,6,0,12,0,21,0,3,0,0,0,0,0,2,22,0,0,0,0,0,10,27409,12,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,28,19,1,1,1,0,11,25,2,12,5,8
2/6/2020,0,0,0,0,14,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,1,6,0,12,0,24,0,3,0,0,0,0,0,2,45,0,0,0,0,0,10,30553,12,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,28,23,1,1,1,0,16,25,2,12,5,10
2/7/2020,0,0,0,0,15,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,6,0,13,0,25,0,3,0,0,0,0,0,3,25,0,0,0,0,0,10,34075,12,0,0,0,1,0,0,0,0,0,0,61,0,3,0,0,0,2,0,0,0,30,24,1,1,1,0,16,25,3,12,5,10
2/8/2020,0,0,0,0,15,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,11,0,13,0,26,0,3,0,0,0,0,0,3,25,0,0,0,0,0,10,36778,16,0,0,0,1,0,0,0,0,0,0,61,0,3,0,0,0,2,0,0,0,33,24,1,1,1,0,17,32,3,12,7,13
2/9/2020,0,0,0,0,15,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,11,0,14,0,29,0,3,0,0,0,0,0,3,26,0,0,0,0,0,10,39790,16,0,0,0,1,0,0,0,0,0,0,64,0,3,0,0,0,2,0,0,0,40,25,2,1,1,0,18,32,3,12,7,13
2/10/2020,0,0,0,0,15,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,11,0,14,0,38,0,3,0,0,0,0,0,3,26,0,0,0,0,0,10,42306,18,0,0,0,1,0,0,0,0,0,0,135,0,3,0,0,0,2,0,0,0,45,27,2,1,1,0,18,32,8,12,8,14
2/11/2020,0,0,0,0,15,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,11,0,16,0,49,0,3,0,0,0,0,0,3,26,0,0,0,0,0,10,44327,18,0,0,0,1,0,0,0,0,0,0,135,0,3,0,0,0,2,0,0,0,47,28,2,1,1,0,18,33,8,13,8,15
2/12/2020,0,0,0,0,15,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,11,0,16,0,50,0,3,0,0,0,0,0,3,28,0,0,0,0,0,10,44699,18,0,0,0,1,0,0,0,0,0,0,175,0,3,0,0,0,2,0,0,0,50,28,2,1,1,0,18,33,9,13,8,15
2/13/2020,0,0,0,0,15,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,11,0,16,0,53,0,3,0,0,0,0,0,3,28,0,0,0,0,0,10,59832,19,0,0,0,1,0,0,0,0,0,0,175,0,3,0,0,0,2,0,0,0,58,28,2,1,1,0,18,33,9,15,8,16
2/14/2020,0,0,0,0,15,0,0,0,0,1,0,1,7,0,0,0,0,0,1,0,1,11,0,16,0,56,0,3,0,0,0,0,0,3,29,0,0,0,0,0,10,66292,19,0,0,0,1,0,0,0,0,0,0,218,0,3,0,0,0,2,0,0,0,67,28,2,1,1,0,18,33,9,15,8,16
2/15/2020,0,0,0,0,15,0,0,0,0,1,0,1,7,0,0,0,0,0,1,0,1,12,0,16,0,56,0,3,0,0,0,0,0,3,43,0,0,0,0,0,10,68347,22,0,0,0,1,0,0,0,0,0,0,285,0,3,0,0,0,2,0,0,0,72,28,2,1,1,0,18,33,9,15,8,16
2/16/2020,0,0,0,0,15,0,0,0,0,1,0,1,7,0,0,0,0,0,1,0,1,12,0,16,0,57,0,3,0,0,0,0,0,3,59,0,0,0,0,0,10,70446,22,0,0,0,1,0,0,0,0,0,0,355,0,3,0,0,0,2,0,0,0,75,29,2,1,1,0,20,34,9,15,9,16
2/17/2020,0,0,0,0,15,0,0,0,0,1,0,1,8,0,0,0,0,0,1,0,1,12,0,16,0,60,0,3,0,0,0,0,0,3,66,0,0,0,0,0,10,72364,22,0,0,0,1,0,0,0,0,0,0,454,0,3,0,0,0,2,0,0,0,77,30,2,1,1,0,22,35,9,15,9,16
2/18/2020,0,0,0,0,15,0,0,0,0,1,0,1,8,0,0,0,0,0,1,0,1,12,0,16,0,62,0,3,0,0,0,0,0,3,74,0,0,0,0,0,10,74139,22,0,0,0,1,0,0,0,0,0,0,542,0,3,0,0,0,2,0,0,0,81,31,2,1,1,0,22,35,9,15,9,16
2/19/2020,0,0,0,0,15,0,0,0,0,1,0,1,8,0,0,0,0,0,1,0,1,12,0,16,0,63,0,3,0,2,0,0,0,3,84,0,0,0,0,0,10,74546,22,0,0,0,1,0,0,0,0,0,0,621,0,3,0,0,0,2,0,0,0,84,31,2,1,1,0,23,35,9,15,9,16
2/20/2020,0,0,0,0,15,0,0,0,0,1,0,1,8,0,0,0,0,0,1,0,1,12,0,16,0,68,0,3,0,5,0,0,0,3,94,0,0,0,0,0,10,74999,22,0,0,0,1,0,0,0,0,0,0,634,0,3,0,0,0,2,0,0,0,84,104,2,1,1,0,24,35,9,15,9,16
2/21/2020,0,0,0,0,19,0,0,0,0,1,0,1,9,0,0,0,0,0,1,0,1,12,0,16,0,68,0,3,0,18,0,0,1,20,105,0,0,1,0,0,10,75472,22,0,0,0,1,0,0,0,0,0,0,634,0,3,0,0,0,2,0,0,0,85,204,2,1,1,0,26,35,9,35,9,16
2/22/2020,0,0,0,0,22,0,0,0,0,1,0,1,9,0,0,0,0,0,1,0,1,12,0,16,0,69,0,3,0,28,0,0,1,62,122,0,0,1,0,0,10,76922,22,0,0,0,1,0,0,0,0,0,0,634,0,3,0,0,0,2,0,0,0,85,433,2,1,1,0,26,35,9,35,13,16
2/23/2020,0,0,0,0,22,0,0,0,0,1,0,1,9,0,0,0,0,0,1,0,1,12,0,16,0,74,0,3,0,43,0,0,1,155,147,0,0,1,0,0,10,76938,22,0,0,0,1,0,0,0,0,0,0,691,0,3,0,0,0,2,0,0,0,89,602,2,1,1,0,28,35,9,35,13,16
2/24/2020,1,0,0,0,22,0,0,1,0,1,0,1,10,0,0,0,0,0,1,0,1,12,0,16,0,79,0,3,0,61,1,0,1,229,159,1,0,1,0,0,10,77152,22,0,0,0,1,0,0,0,0,0,2,691,0,3,0,0,0,2,0,0,0,89,833,2,1,1,0,30,35,13,53,13,16
2/25/2020,1,1,0,0,22,2,0,23,0,1,0,1,11,1,0,0,0,0,1,0,1,14,0,17,0,84,0,3,0,95,1,0,1,322,170,11,0,1,0,0,10,77660,22,0,0,0,1,0,0,0,0,0,2,691,0,3,0,0,0,2,0,0,0,91,977,6,1,1,1,31,37,13,53,13,16
2/26/2020,1,1,0,0,22,2,0,33,0,1,1,1,11,3,0,0,0,0,1,0,2,18,1,27,1,91,0,3,0,139,5,0,2,453,189,26,0,2,0,0,10,78065,22,0,0,0,1,0,0,0,1,1,4,705,2,3,0,0,1,2,0,0,0,93,1261,13,1,2,1,32,40,13,59,13,16
2/27/2020,1,1,0,0,23,3,0,33,0,1,1,1,13,3,0,1,0,0,1,1,2,38,1,46,3,92,0,3,0,245,7,0,3,655,214,43,0,2,0,0,10,78498,23,0,0,0,1,1,0,0,1,1,4,705,2,3,0,0,1,2,1,0,0,93,1766,15,1,7,8,32,40,15,60,13,16
2/28/2020,1,1,0,0,23,3,0,36,1,1,1,1,14,5,0,1,0,0,1,1,2,57,1,48,4,94,1,3,0,388,7,0,4,888,228,45,0,2,1,0,10,78824,23,1,0,0,1,1,1,1,1,6,4,705,2,3,0,0,3,2,1,0,0,93,2337,32,1,7,8,34,41,20,62,19,16
2/29/2020,1,1,0,0,25,9,0,41,1,1,2,1,20,6,0,3,0,0,1,1,3,100,1,79,4,95,1,3,0,593,13,1,7,1128,241,45,0,4,1,1,10,79251,25,4,1,0,1,6,1,1,1,15,6,705,4,3,0,1,3,2,1,0,0,102,3150,45,1,12,18,39,42,23,70,21,16
3/1/2020,1,1,0,1,27,14,3,47,1,2,2,1,24,7,3,4,1,6,2,1,6,130,3,130,7,96,3,3,0,978,19,1,10,1694,256,45,0,10,1,1,10,79826,29,5,1,0,1,10,1,1,1,19,6,705,4,3,0,3,3,2,1,0,0,106,3736,84,1,14,27,40,42,36,76,21,16
3/2/2020,1,3,1,1,30,18,3,49,1,8,2,1,27,7,3,4,1,6,2,1,6,191,3,159,7,100,6,5,2,1501,26,1,10,2036,274,56,1,13,1,1,10,80026,29,5,1,1,1,18,1,1,1,25,6,705,4,3,2,3,3,3,8,1,1,108,4335,120,1,15,42,41,43,40,101,21,16
